appeal_name,channel,campaign_name,total_amount
Board Giving - Wildlands Corridor Acquisition,Board Giving,Wildlands Corridor Acquisition,27766815.41
Corporate Partnerships - Wildlands Corridor Acquisition,Corporate Partnerships,Wildlands Corridor Acquisition,14962798.94
Corporate Partnerships - Trail Blazer 5K Run/Walk,Corporate Partnerships,Trail Blazer 5K Run/Walk,12457220.52
Event - Polar Plunge for Climate Action,Event,Polar Plunge for Climate Action,10014515.58
Event - Green Gala Annual Dinner,Event,Green Gala Annual Dinner,9477325.07
Major Donor Cultivation - Conservation Science Center,Major Donor Cultivation,Conservation Science Center,9011557.2
Major Donor Cultivation - Wildlands Corridor Acquisition,Major Donor Cultivation,Wildlands Corridor Acquisition,8783438.83
Corporate Partnerships - Hike-a-Thon: Miles for Wildlife,Corporate Partnerships,Hike-a-Thon: Miles for Wildlife,8715226.09
Giving Tuesday - Year-End Sustainability Drive,Giving Tuesday,Year-End Sustainability Drive,8488752.22
Giving Tuesday - Community Garden Network,Giving Tuesday,Community Garden Network,8251346.93
Peer to Peer - River Cleanup Day,Peer to Peer,River Cleanup Day,6548203.42
Corporate Partnerships - Green Gala Annual Dinner,Corporate Partnerships,Green Gala Annual Dinner,6372201.08
Social Media Challenge - Hike-a-Thon: Miles for Wildlife,Social Media Challenge,Hike-a-Thon: Miles for Wildlife,6153598.11
Monthly Giving Program - Community Garden Network,Monthly Giving Program,Community Garden Network,5490613.82
Peer to Peer - Tree Planting Day,Peer to Peer,Tree Planting Day,5038923.49
Event - Bird-a-Thon Counting Challenge,Event,Bird-a-Thon Counting Challenge,4951245.12
Corporate Partnerships - Conservation Science Center,Corporate Partnerships,Conservation Science Center,4599757.81
Social Media Challenge - Endangered Species Protection,Social Media Challenge,Endangered Species Protection,4486671.55
Giving Tuesday - Clean Water Action,Giving Tuesday,Clean Water Action,4051075.28
Giving Tuesday - Earth Protectors Annual Fund,Giving Tuesday,Earth Protectors Annual Fund,3928893.17
Peer to Peer - Hike-a-Thon: Miles for Wildlife,Peer to Peer,Hike-a-Thon: Miles for Wildlife,3770296.81
Event - Moonlight Paddle Fundraiser,Event,Moonlight Paddle Fundraiser,3740653.43
Volunteer Fundraising - Renewable Energy Transition,Volunteer Fundraising,Renewable Energy Transition,3612969.44
Year-End Appeal - Community Garden Network,Direct Mail,Community Garden Network,3525797.27
Direct Mail - Youth Environmental Leadership,Direct Mail,Youth Environmental Leadership,3463920.52
Email Campaign - Renewable Energy Transition,Email Campaign,Renewable Energy Transition,3450808.88
Social Media Challenge - Clean Water Action,Social Media Challenge,Clean Water Action,3329869.28
Social Media Challenge - River Cleanup Day,Social Media Challenge,River Cleanup Day,3162057.16
Phone-a-thon - Earth Protectors Annual Fund,Phone-a-thon,Earth Protectors Annual Fund,3139992.68
Monthly Giving Program - Youth Environmental Leadership,Monthly Giving Program,Youth Environmental Leadership,3076278.59
Monthly Giving Program - Year-End Sustainability Drive,Monthly Giving Program,Year-End Sustainability Drive,2987954.3
Monthly Giving Program - Native Plant Restoration,Monthly Giving Program,Native Plant Restoration,2822125.59
Direct Mail - Community Garden Network,Direct Mail,Community Garden Network,2721531.8
Phone-a-thon - Year-End Sustainability Drive,Phone-a-thon,Year-End Sustainability Drive,2703790.79
Peer to Peer - Sustainable Living Expo,Peer to Peer,Sustainable Living Expo,2670540.3
Email Campaign - Ocean Plastics Initiative,Email Campaign,Ocean Plastics Initiative,2646028.63
Social Media Challenge - Trail Blazer 5K Run/Walk,Social Media Challenge,Trail Blazer 5K Run/Walk,2628369.96
Corporate Partnerships - Moonlight Paddle Fundraiser,Corporate Partnerships,Moonlight Paddle Fundraiser,2614104.12
Social Media Challenge - Green Gala Annual Dinner,Social Media Challenge,Green Gala Annual Dinner,2536197.49
Direct Mail - Ocean Plastics Initiative,Direct Mail,Ocean Plastics Initiative,2462746.95
Social Media Challenge - Tree Planting Day,Social Media Challenge,Tree Planting Day,2408395.88
Social Media Challenge - Polar Plunge for Climate Action,Social Media Challenge,Polar Plunge for Climate Action,2356281.13
Corporate Partnerships - Nature Photography Auction,Corporate Partnerships,Nature Photography Auction,2077878.25
Email Campaign - Youth Environmental Leadership,Email Campaign,Youth Environmental Leadership,1932402.16
Event - Cycling for Conservation,Event,Cycling for Conservation,1825653.92
Social Media Challenge - Sustainable Living Expo,Social Media Challenge,Sustainable Living Expo,1599679.37
Peer to Peer - Bird-a-Thon Counting Challenge,Peer to Peer,Bird-a-Thon Counting Challenge,836741.06
Social Media Challenge - Forest Fire Recovery,Social Media Challenge,Forest Fire Recovery,715896.38
Social Media Challenge - Moonlight Paddle Fundraiser,Social Media Challenge,Moonlight Paddle Fundraiser,589633.1
Email Campaign - Forest Fire Recovery,Email Campaign,Forest Fire Recovery,548661.16
Peer to Peer - Cycling for Conservation,Peer to Peer,Cycling for Conservation,442419.99
Social Media Challenge - Nature Photography Auction,Social Media Challenge,Nature Photography Auction,362131.05
Peer to Peer - Eco Film Festival,Peer to Peer,Eco Film Festival,139907.69
Social Media Challenge - Eco Film Festival,Social Media Challenge,Eco Film Festival,125241.85
